,BEAN_GPS_LNG,BEAN_GPS_LAT
252,33.7478908,0.6063884
253,33.7478908,0.6064009
254,33.7478517,0.6063867
255,33.7478625,0.6063842
256,33.7478352,0.6063111
257,33.7478217,0.606349
258,32.568458,0.4353797
259,32.6268222,0.5409291
260,32.5681613,0.4385985
261,32.567634,0.4369992
262,32.6247446,0.5400697
263,32.6265292,0.539822
264,32.6265415,0.549223
265,32.623587,0.5413978
266,32.625751,0.5377772
267,32.6222697,0.5409337
268,32.6222654,0.5409732
269,32.6270268,0.5406856
270,32.6269561,0.5406291
271,32.6268707,0.54058
272,32.594377,1.5201662
273,32.5943807,1.5197689
274,32.5943955,1.5201616
275,32.5676668,0.4344143
276,32.5677417,0.434414
277,32.5677226,0.4344722
278,32.5676219,0.4344894
279,32.5675734,0.4345025
280,33.1247282,0.9828913
281,33.1247028,0.9829418
282,33.149155,0.7496217
283,33.1468383,0.7615833
284,33.145575,0.7723967
285,33.1452783,0.7841017
286,33.144935,0.78876
287,30.9454257,3.0758936
288,33.1449076,0.788897
289,33.4474404,1.5377677
290,32.5674763,0.4337544
291,32.5667817,0.4338917
292,32.5668563,0.4337967
293,30.9587791,2.9378531
294,33.4918237,0.2188218
295,33.491805,0.2188183
296,33.4918433,0.2188283
297,33.49185,0.21881
298,33.49181,0.2188017
299,33.4918063,0.2187663
300,33.4918183,0.2187733
301,33.4918267,0.218875
302,33.7480611,0.6063462
303,33.748035,0.6063883
304,33.7480804,0.6063659
305,33.7480814,0.6063408
306,33.7481079,0.6062876
307,33.7481243,0.6063218
308,33.74815,0.6063249
309,33.7481549,0.6063264
310,33.7480753,0.6063267
311,33.7481088,0.6063558
312,33.7481107,0.6063563
313,32.6350729,0.5211517
314,33.7481095,0.6063652
315,33.748108,0.6063587
316,32.611556,0.5820942
317,34.1688663,0.9594845
318,34.164345,0.9665112
319,33.7480473,0.6062693
320,33.74796,0.6062213
321,33.7479744,0.6062505
322,33.7479793,0.6062404
323,33.7479752,0.6062501
324,33.7479692,0.6062424
